Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,579092623,7429.4646807665595,6289060,80.68545046069725,894309,6407556,82.20569404841797,14743,0.18914521345671045,2113,
United States of America,Americas,90706508,27403.559,902217,272.571,143467,1021995,308.757,2972,0.898,640
India,South-East Asia,44107588,3196.192,127858,9.265,20551,526600,38.159,342,0.025,70
Brazil,Americas,33924061,15959.801,219668,103.344,33633,679275,319.569,1471,0.692,265
France,Europe,33009294,50752.797,241155,370.783,33799,149003,229.097,541,0.832,87
Germany,Europe,31178705,37489.405,359887,432.73,41487,144717,174.008,107,0.129,7
The United Kingdom,Europe,23369355,34424.408,45032,66.335,0,185052,272.592,417,0.614,0
Italy,Europe,21213559,35568.46,315500,528.994,42959,172729,289.612,1091,1.829,161
Republic of Korea,Western Pacific,20273011,39542.292,652494,1272.683,112901,25191,49.135,199,0.388,47
Russian Federation,Europe,18672422,12795.074,95449,65.405,18555,382651,262.207,299,0.205,47
Türkiye,Europe,15889495,18840.018,0,0,0,99341,117.788,0,0,0
Japan,Western Pacific,13598290,10751.637,1480178,1170.319,253392,33159,26.218,873,0.69,183
Spain,Europe,13245996,27984.924,45435,95.991,0,110713,233.904,598,1.263,0
Viet Nam,Western Pacific,10785122,11080.008,12142,12.474,0,43094,44.272,2,0.002,0
Argentina,Americas,9560307,21153.099,52745,116.703,0,129369,286.241,91,0.201,0
Australia,Western Pacific,9554380,37468.327,274370,1075.966,37393,12119,47.526,607,2.38,93
Netherlands,Europe,8347295,47952.057,19229,110.463,2438,22510,129.311,23,0.132,4
Iran (Islamic Republic of),Eastern Mediterranean,7418615,8832.426,49670,59.136,0,142209,169.311,372,0.443,0
Mexico,Americas,6803190,5276.541,62277,48.302,20210,328006,254.401,351,0.272,123
Colombia,Americas,6265798,12314.155,18164,35.698,0,140845,276.802,242,0.476,0
Indonesia,South-East Asia,6229315,2277.432,31820,11.633,0,157060,57.421,90,0.033,0
Poland,Europe,6089166,16041.793,23834,62.79,4290,116645,307.299,89,0.234,17
China,Western Pacific,5733705,389.707,166192,11.296,25115,23841,1.62,340,0.023,59
Portugal,Europe,5355526,52016.058,20810,202.119,3182,24660,239.513,64,0.622,11
Ukraine,Europe,5026496,11493.4,2786,6.37,0,108727,248.611,14,0.032,0
Austria,Europe,4821763,54170.636,47303,531.431,6361,20411,229.31,73,0.82,9
Malaysia,Western Pacific,4697213,14512.801,29074,89.829,4413,36003,111.237,57,0.176,8
Thailand,South-East Asia,4600978,6591.661,14428,20.67,2253,31526,45.166,199,0.285,34
Israel,Europe,4596833,53108.558,22756,262.907,2797,11430,132.054,41,0.474,0
Greece,Europe,4474616,41746.409,122230,1140.358,0,31377,292.735,355,3.312,0
Belgium,Europe,4437299,38510.064,17868,155.071,9,32296,280.288,59,0.512,2
Chile,Americas,4274613,22361.206,59844,313.054,11697,59698,312.29,221,1.156,65
Canada,Americas,4056133,10746.957,32893,87.152,0,42681,113.086,253,0.67,0
South Africa,Africa,4004555,6752.054,354,0.597,0,101982,171.951,5,0.008,0
Czechia,Europe,3996433,37371.01,15094,141.145,2149,40544,379.131,82,0.767,5
Switzerland,Europe,3953878,45685.182,8274,95.602,0,13449,155.397,6,0.069,0
Peru,Americas,3932838,11927.864,59136,179.353,9094,214431,650.346,311,0.943,24
Philippines,Western Pacific,3790309,3458.908,25963,23.693,4439,60773,55.459,69,0.063,11
Denmark,Europe,3239092,55628.093,10801,185.496,1686,6700,115.066,72,1.237,13
Romania,Europe,3098268,16029.251,55063,284.875,8617,66117,342.064,182,0.942,27
Sweden,Europe,2545671,24649.228,5969,57.797,1207,19433,188.166,22,0.213,0
Iraq,Eastern Mediterranean,2448484,6087.35,8070,20.063,0,25321,62.952,13,0.032,0
Serbia,Europe,2148615,31019.294,41465,598.625,6467,16319,235.595,66,0.953,6
Bangladesh,South-East Asia,2006646,1218.443,2103,1.277,0,29300,17.791,15,0.009,0
Hungary,Europe,1987321,20342.041,21840,223.552,0,46886,479.921,96,0.983,0
Slovakia,Europe,1821908,33381.282,5787,106.03,947,20248,370.987,32,0.586,6
Singapore,Western Pacific,1742874,29790.976,48420,827.644,6648,1531,26.169,39,0.667,3
Jordan,Eastern Mediterranean,1715296,16811.462,5417,53.092,0,14083,138.026,9,0.088,0
Georgia,Europe,1698020,42565.693,11802,295.851,0,16869,422.869,10,0.251,0
Ireland,Europe,1647605,33188.134,2398,48.304,0,7700,155.103,32,0.645,0
New Zealand,Western Pacific,1634221,33889.3,41328,857.03,5505,2399,49.749,242,5.018,18
Pakistan,Eastern Mediterranean,1556445,704.617,3813,1.726,0,30499,13.807,17,0.008,0
Norway,Europe,1456490,27134.947,1097,20.438,109,3623,67.498,0,0,0
Kazakhstan,Europe,1452355,7734.876,18496,98.505,2604,19025,101.322,4,0.021,0
Morocco,Eastern Mediterranean,1261816,3418.577,1842,4.99,0,16248,44.02,20,0.054,0
Finland,Europe,1218216,22047.993,10041,181.728,0,5251,95.036,3,0.054,0
Bulgaria,Europe,1214925,17477.208,10661,153.363,1496,37424,538.36,64,0.921,4
Croatia,Europe,1191079,29350.187,8243,203.121,1486,16365,403.261,88,2.168,15
Lithuania,Europe,1190172,42596.051,8119,290.578,1373,9218,329.911,11,0.394,0
Lebanon,Eastern Mediterranean,1179481,17280.646,12441,182.274,0,10538,154.393,15,0.22,0
Tunisia,Eastern Mediterranean,1134660,9600.614,5967,50.488,0,29105,246.264,64,0.542,0
Cuba,Americas,1108492,9786.612,692,6.11,131,8529,75.301,0,0,0
Slovenia,Europe,1089972,52005.93,10462,499.174,1634,7961,379.844,18,0.859,1
Bolivia (Plurinational State of),Americas,1052030,9012.491,31352,268.585,4832,22080,189.154,44,0.377,8
Guatemala,Americas,1048193,5850.738,20388,113.8,3278,19070,106.444,98,0.547,6
Costa Rica,Americas,1044385,20501.783,16010,314.284,0,8740,171.57,50,0.982,0
United Arab Emirates,Eastern Mediterranean,994693,10057.154,6689,67.631,0,2335,23.609,1,0.01,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Nepal,South-East Asia,988821,3393.718,3013,10.341,0,11969,41.079,5,0.017,0
Ecuador,Americas,975234,5527.58,17159,97.256,1364,35811,202.975,14,0.079,1
Uruguay,Americas,971728,27973.619,1925,55.416,0,7415,213.459,12,0.345,0
Panama,Americas,954369,22118.668,5896,136.647,0,8425,195.26,13,0.301,0
Mongolia,Western Pacific,954305,29109.841,10615,323.797,0,2121,64.698,2,0.061,0
Latvia,Europe,871181,45667.16,9457,495.734,1605,5901,309.329,9,0.472,1
Puerto Rico,Americas,859663,30049.185,16136,564.028,0,4784,167.223,36,1.258,0
Saudi Arabia,Eastern Mediterranean,810394,2327.791,1368,3.929,0,9255,26.584,10,0.029,0
Azerbaijan,Europe,800478,7894.903,2840,28.01,495,9755,96.211,11,0.108,3
Paraguay,Americas,707109,9913.848,6049,84.809,0,19220,269.469,73,1.023,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,691065,13546.538,8969,175.814,0,5688,111.498,10,0.196,0
Sri Lanka,South-East Asia,666232,3111.307,689,3.218,0,16574,77.401,21,0.098,0
Bahrain,Eastern Mediterranean,661116,38853.18,2878,169.137,0,1511,88.8,2,0.118,0
Kuwait,Eastern Mediterranean,653730,15307.789,0,0,0,2559,59.922,0,0,0
Dominican Republic,Americas,631040,5817.157,3580,33.002,0,4383,40.404,0,0,0
Myanmar,South-East Asia,614158,1128.764,115,0.211,0,19434,35.718,0,0,0
Estonia,Europe,591377,44498.697,1148,86.382,0,2628,197.746,8,0.602,0
Cyprus,Europe,562911,63390.521,0,0,0,1115,125.562,0,0,0
Republic of Moldova,Europe,541715,13428.854,9528,236.195,0,11630,288.302,22,0.545,0
Venezuela (Bolivarian Republic of),Americas,537177,1889.078,3163,11.123,591,5764,20.27,7,0.025,1
Egypt,Eastern Mediterranean,514891,503.146,232,0.227,0,24775,24.21,10,0.01,0
Libya,Eastern Mediterranean,505350,7354.512,751,10.93,0,6433,93.621,2,0.029,0
Ethiopia,Africa,492375,428.288,329,0.286,0,7568,6.583,0,0,0
Honduras,Americas,442319,4465.791,4269,43.101,0,10939,110.444,7,0.071,0
Réunion,Africa,440747,49228.314,5823,650.388,0,839,93.71,7,0.782,0
Armenia,Europe,426799,14403.149,1434,48.393,0,8635,291.405,2,0.067,0
Qatar,Eastern Mediterranean,411405,14279.675,5180,179.795,0,681,23.637,1,0.035,0
Oman,Eastern Mediterranean,396722,7768.769,985,19.289,0,4628,90.627,0,0,0
Bosnia and Herzegovina,Europe,387421,11808.682,2445,74.524,345,15892,484.392,39,1.189,4
Kenya,Africa,337768,628.157,268,0.498,34,5672,10.548,0,0,0
North Macedonia,Europe,330016,15840.413,3862,185.372,844,9387,450.566,13,0.624,3
Zambia,Africa,329483,1792.231,0,0,0,4015,21.84,0,0,0
Botswana,Africa,325470,13840.205,0,0,0,2770,117.791,0,0,0
Albania,Europe,314770,10937.869,7207,250.434,0,3543,123.115,16,0.556,0
Luxembourg,Europe,283721,45315.026,1469,234.624,214,1115,178.084,5,0.799,1
Algeria,Africa,267902,610.936,708,1.615,125,6877,15.683,1,0.002,1
Montenegro,Europe,262801,41843.162,6256,996.08,870,2751,438.014,9,1.433,2
Nigeria,Africa,261473,126.843,496,0.241,0,3147,1.527,0,0,0
Kosovo[1],Europe,258447,14392.821,7990,444.96,1155,3164,176.202,5,0.278,1
Zimbabwe,Africa,256444,1725.394,90,0.606,0,5581,37.55,5,0.034,0
Mauritius,Africa,248720,19557.026,1306,102.692,0,1014,79.732,1,0.079,0
Uzbekistan,Europe,243256,726.806,254,0.759,24,1637,4.891,0,0,0
Mozambique,Africa,229674,734.829,191,0.611,29,2216,7.09,1,0.003,0
Martinique,Americas,211572,56379.359,1714,456.744,0,998,265.945,6,1.599,0
Lao People's Democratic Republic,Western Pacific,211537,2907.501,485,6.666,96,757,10.405,0,0,0
Brunei Darussalam,Western Pacific,211157,48266.774,4997,1142.226,0,122,27.887,0,0,0
Kyrgyzstan,Europe,203776,3123.391,1091,16.722,0,2991,45.845,0,0,0
Iceland,Europe,202502,55611.945,521,143.079,0,179,49.158,0,0,0
El Salvador,Americas,190818,2941.905,0,0,0,4206,64.845,14,0.216,2
Afghanistan,Eastern Mediterranean,186393,478.81,1000,2.569,0,7752,19.914,9,0.023,0
Guadeloupe,Americas,186380,46580.56,3362,840.24,0,971,242.675,6,1.5,0
Maldives,South-East Asia,184485,34129.507,183,33.855,0,307,56.795,0,0,0
Trinidad and Tobago,Americas,171906,12283.492,1196,85.46,227,4057,289.892,11,0.786,3
Uganda,Africa,168390,368.138,121,0.265,0,3627,7.929,0,0,0
Ghana,Africa,168127,541.072,0,0,0,1457,4.689,0,0,0
Namibia,Africa,166467,6551.485,0,0,0,4072,160.258,0,0,0
Jamaica,Americas,146695,4953.959,843,28.469,87,3199,108.032,12,0.405,1
Cambodia,Western Pacific,136937,819.052,257,1.537,29,3056,18.279,0,0,0
Rwanda,Africa,132299,1021.439,63,0.486,0,1466,11.319,0,0,0
Cameroon,Africa,120215,452.858,0,0,0,1931,7.274,0,0,0
Malta,Europe,113170,21993.377,451,87.647,50,795,154.5,3,0.583,0
Angola,Africa,102636,312.284,161,0.49,0,1917,5.833,1,0.003,0
Barbados,Americas,92841,32306.568,1907,663.593,325,495,172.249,6,2.088,0
French Guiana,Americas,92575,30994.503,0,0,0,407,136.265,3,1.004,0
Democratic Republic of the Congo,Africa,92173,102.916,0,0,0,1390,1.552,0,0,0
Senegal,Africa,87513,522.655,276,1.648,34,1968,11.754,0,0,0
Malawi,Africa,87365,456.692,0,0,0,2664,13.926,0,0,0
Côte d’Ivoire,Africa,85601,324.513,546,2.07,81,811,3.074,1,0.004,0
Suriname,Americas,80982,13804.566,16,2.727,0,1380,235.241,0,0,0
French Polynesia,Western Pacific,75819,26990.687,562,200.066,0,649,231.036,0,0,0
Eswatini,Africa,73290,6317.21,17,1.465,0,1417,122.138,0,0,0
New Caledonia,Western Pacific,71073,24894.395,1277,447.289,0,314,109.983,0,0,0
Guyana,Americas,69948,8892.991,328,41.701,102,1271,161.591,0,0,0
Fiji,Western Pacific,67805,7563.766,256,28.557,141,874,97.496,4,0.446,1
Belize,Americas,67309,16927.631,452,113.674,198,680,171.014,0,0,0
Madagascar,Africa,66491,240.118,75,0.271,0,1408,5.085,1,0.004,0
Sudan,Eastern Mediterranean,63074,143.843,11,0.025,0,4958,11.307,0,0,0
Mauritania,Africa,62592,1346.164,91,1.957,0,992,21.335,1,0.022,0
Cabo Verde,Africa,62184,11184.434,46,8.274,0,410,73.743,0,0,0
Bhutan,South-East Asia,60530,7844.657,30,3.888,0,21,2.722,0,0,0
Jersey,Europe,58331,54112.397,328,304.278,48,135,125.237,3,2.783,2
Syrian Arab Republic,Eastern Mediterranean,56419,322.382,150,0.857,0,3150,17.999,0,0,0
Gabon,Africa,48511,2179.551,0,0,0,306,13.748,0,0,0
Burundi,Africa,47008,395.331,1392,11.707,0,15,0.126,0,0,0
Guam,Western Pacific,46181,27362.465,126,74.656,0,381,225.744,1,0.593,0
Andorra,Europe,45793,59267.456,285,368.86,0,154,199.314,1,1.294,0
Seychelles,Africa,45540,46305.429,111,112.866,0,168,170.824,0,0,0
Curaçao,Americas,45063,27461.866,0,0,0,282,171.854,0,0,0
Papua New Guinea,Western Pacific,44800,500.725,16,0.179,2,663,7.41,0,0,0
Aruba,Americas,42286,39606.242,206,192.945,0,226,211.678,2,1.873,0
Mayotte,Africa,39344,14421.494,385,141.121,0,187,68.545,0,0,0
Togo,Africa,38158,460.916,114,1.377,13,280,3.382,1,0.012,0
United Republic of Tanzania,Africa,37865,63.389,536,0.897,0,841,1.408,0,0,0
Isle of Man,Europe,37794,44446.797,98,115.251,0,114,134.067,0,0,0
Guinea,Africa,37408,284.844,0,0,0,445,3.388,0,0,0
Bahamas,Americas,36745,9344.071,81,20.598,0,822,209.031,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Lesotho,Africa,34040,1588.984,0,0,0,702,32.769,0,0,0
Haiti,Americas,32296,283.235,0,0,0,838,7.349,0,0,0
Mali,Africa,31232,154.226,11,0.054,0,739,3.649,0,0,0
Guernsey,Europe,30198,46841.844,274,425.017,0,60,93.069,6,9.307,0
Cayman Islands,Americas,29419,44764.151,310,471.698,0,29,44.127,0,0,0
Saint Lucia,Americas,28062,15282.066,219,119.264,96,386,210.209,1,0.545,1
Benin,Africa,27316,225.32,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,27020,170.01,63,0.396,0,1361,8.563,0,0,0
Congo,Africa,24775,448.978,0,0,0,386,6.995,0,0,0
Timor-Leste,South-East Asia,23036,1747.21,37,2.806,9,134,10.163,1,0.076,1
United States Virgin Islands,Americas,21921,20992.1,244,233.661,52,121,115.873,1,0.958,0
Solomon Islands,Western Pacific,21544,3136.483,0,0,0,153,22.275,0,0,0
Burkina Faso,Africa,21128,101.075,0,0,0,387,1.851,0,0,0
San Marino,Europe,19983,58880.9,179,527.432,0,118,347.693,0,0,0
Gibraltar,Europe,19938,59179.009,36,106.853,0,105,311.656,0,0,0
Grenada,Americas,18786,16695.253,0,0,0,234,207.957,0,0,0
Liechtenstein,Europe,18744,48375.358,78,201.306,0,85,219.372,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17780,158.839,0,0,0,138,1.233,0,0,0
Bermuda,Americas,17356,27870.827,163,261.751,163,148,237.663,4,6.423,4
Equatorial Guinea,Africa,16741,1193.242,11,0.784,0,183,13.044,0,0,0
Djibouti,Eastern Mediterranean,15690,1588.057,0,0,0,189,19.13,0,0,0
Samoa,Western Pacific,15405,7764.069,0,0,0,29,14.616,0,0,0
Dominica,Americas,14852,20630.357,0,0,0,68,94.456,0,0,0
Nicaragua,Americas,14807,223.517,0,0,0,244,3.683,0,0,0
Central African Republic,Africa,14781,306.04,2,0.041,0,113,2.34,0,0,0
Monaco,Europe,14174,36117.623,118,300.683,17,61,155.438,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,12732,22120.68,156,271.036,0,38,66.022,1,1.737,0
Tonga,Western Pacific,12554,11877.572,0,0,0,12,11.353,0,0,0
Gambia,Africa,12149,502.717,34,1.407,0,368,15.228,0,0,0
Greenland,Europe,11971,21086.099,0,0,0,21,36.99,0,0,0
Yemen,Eastern Mediterranean,11877,39.821,28,0.094,0,2151,7.212,2,0.007,0
Vanuatu,Western Pacific,11731,3819.369,7,2.279,1,14,4.558,0,0,0
Saint Martin,Americas,11667,30179.26,132,341.447,0,46,118.989,0,0,0
Sint Maarten,Americas,10765,25103.773,24,55.968,0,87,202.882,0,0,0
Eritrea,Africa,10087,284.428,92,2.594,0,103,2.904,0,0,0
Saint Vincent and the Grenadines,Americas,9390,8464.035,36,32.45,12,115,103.66,0,0,0
Niger,Africa,9119,37.671,6,0.025,3,311,1.285,0,0,0
Bonaire,Americas,9109,43552.474,41,196.032,0,30,143.438,0,0,0
Antigua and Barbuda,Americas,8773,8958.531,32,32.677,0,144,147.045,0,0,0
Guinea-Bissau,Africa,8440,428.862,0,0,0,174,8.841,0,0,0
Comoros,Africa,8340,959.061,18,2.07,0,160,18.399,0,0,0
American Samoa,Western Pacific,7952,14406.58,186,336.975,0,33,59.786,0,0,0
Sierra Leone,Africa,7736,96.979,4,0.05,1,125,1.567,0,0,0
Liberia,Africa,7548,149.238,0,0,0,294,5.813,0,0,0
Chad,Africa,7437,45.276,5,0.03,0,193,1.175,0,0,0
British Virgin Islands,Americas,7131,23583.689,0,0,0,63,208.354,0,0,0
Micronesia (Federated States of),Western Pacific,6507,5657.129,2981,2591.656,216,12,10.433,8,6.955,1
Saint Kitts and Nevis,Americas,6470,12163.483,17,31.96,3,46,86.479,0,0,0
Turks and Caicos Islands,Americas,6328,16343.819,25,64.569,0,36,92.98,0,0,0
Cook Islands,Western Pacific,6122,34855.386,96,546.573,0,1,5.693,0,0,0
Sao Tome and Principe,Africa,6115,2790.212,15,6.844,0,75,34.222,1,0.456,0
Palau,Western Pacific,5234,28929.914,14,77.382,0,6,33.164,0,0,0
Saint Barthélemy,Americas,5138,51977.744,83,839.656,0,5,50.582,0,0,0
Nauru,Western Pacific,4409,40695.957,2,18.46,2,1,9.23,0,0,0
Anguilla,Americas,3620,24130.116,40,266.631,0,10,66.658,0,0,0
Kiribati,Western Pacific,3430,2871.518,0,0,0,13,10.883,0,0,0
Saint Pierre and Miquelon,Americas,3112,53701.467,29,500.431,0,1,17.256,0,0,0
Falkland Islands (Malvinas),Americas,1847,53028.998,8,229.687,0,0,0,0,0,0
Sint Eustatius,Americas,1114,35489.009,0,0,0,5,159.286,0,0,0
Montserrat,Americas,1068,21364.273,23,460.092,0,8,160.032,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,761,6766.85,0,0,0,7,62.244,0,0,0
Saba,Americas,674,34868.081,22,1138.127,0,2,103.466,0,0,0
Marshall Islands,Western Pacific,68,114.877,9,15.204,2,0,0,0,0,0
Niue,Western Pacific,56,3461.063,9,556.242,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,8,67.843,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,4,8000,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
